id,property_id,bank_name,account_number_last4,acct_type,is_operating,is_reserve
34d4c182e9a24b2ba115f8813d25c570,8a84f65e5a744c639b342ab3f7937fed,Bank of America,7194,Operating,True,False
9a6a2559cb894a14a7beaefb3d27d713,8a84f65e5a744c639b342ab3f7937fed,Wells Fargo,7897,Reserve,False,True
c27368dad75943f0b77e5db348d969d6,10e3338faaa449b5a588b83692e0df87,Bank of America,5270,Operating,True,False
601dfd10cbd741e28471b7414a9b8151,10e3338faaa449b5a588b83692e0df87,Bank of America,9387,Reserve,False,True
af8fb436f520499886d518db44b5f483,fdd710b1997d4b09a152914cfbf33c3a,Chase,2681,Operating,True,False
dc5a4bc36e0d4efd8e7fd26cf2507512,fdd710b1997d4b09a152914cfbf33c3a,Bank of America,1056,Reserve,False,True
e4655972e1be44718da9601b49aac82b,27959407d7004daba8bcc815dc1c2218,Wells Fargo,7747,Operating,True,False
2eb538e48f0d49b3b7cdb72e394032fb,27959407d7004daba8bcc815dc1c2218,Chase,9871,Reserve,False,True
7eaef472aa334b3cb25b8eb2289a762c,aefb2813a7094034bb8ed4c5a8d7db0e,Wells Fargo,1966,Operating,True,False
ffbe670c13a0491da52991caced957e8,aefb2813a7094034bb8ed4c5a8d7db0e,Wells Fargo,5455,Reserve,False,True
ab3d8a07f709454cbb0ba3e387ce246f,abb1cac40a984cb182cebbf74302c8a3,Bank of America,8960,Operating,True,False
842831195d2d48be99ac179c7cc97c65,abb1cac40a984cb182cebbf74302c8a3,Bank of America,9786,Reserve,False,True
006e2bc459af4f948c641488829cf151,f0299242534841b1856fd44d191e37e1,Bank of America,1126,Operating,True,False
9f85cfe3c9bb425882735e33bb999f8f,f0299242534841b1856fd44d191e37e1,Chase,7678,Reserve,False,True
f68cff0656154b4fb04df4377fa6a782,deae04cfc3654d10b75ff8e3ce78ae95,Bank of America,4148,Operating,True,False
459e2d85e2224330b060e4a2904bc589,deae04cfc3654d10b75ff8e3ce78ae95,Wells Fargo,2823,Reserve,False,True
d26bb4dad1234e8cb5ae9a95a6612b0e,c291ec3bb17a49788b7faa4629f5e82c,Bank of America,6753,Operating,True,False
04c1b8d3cef44ffe94ff2228b891415b,c291ec3bb17a49788b7faa4629f5e82c,Wells Fargo,3643,Reserve,False,True
47eec58a56c24feb936822cebf2aa3f1,9c0b582b92d7436cb2911dac20e49281,Bank of America,4757,Operating,True,False
d752343f8a214a59b35640a96e26e374,9c0b582b92d7436cb2911dac20e49281,Bank of America,3426,Reserve,False,True
9b1a176fc9764ea4b6c1f1ee60a680ee,20c8022c5b0540eca28cfb7b565025a8,Bank of America,3867,Operating,True,False
727b6b48a8d94610bab1003ea690bfd4,20c8022c5b0540eca28cfb7b565025a8,Wells Fargo,3539,Reserve,False,True
ef8eafef31374319af4c1a063b8d253b,b5c3f485f434498ba24ac407abe8ab32,Chase,1215,Operating,True,False
