id,bank_account_id,date,balance
ff971fdbf0ec4df99695fc6725ee63e9,34d4c182e9a24b2ba115f8813d25c570,2025-06-08,32803.92
5919f029cbe145cab8614f7e3eca7c2a,34d4c182e9a24b2ba115f8813d25c570,2025-06-01,41909.8
213a0bd5ec5d4472a5c7193a21a62dc4,34d4c182e9a24b2ba115f8813d25c570,2025-05-25,29465.33
bd60fecd1d8343058dcc11f891ef54b8,34d4c182e9a24b2ba115f8813d25c570,2025-05-18,17941.55
4824cb2da3874d459e513355cfde530a,34d4c182e9a24b2ba115f8813d25c570,2025-05-11,44969.48
3fd7781547ae442194b2bdf7e316f959,9a6a2559cb894a14a7beaefb3d27d713,2025-06-08,12900.84
f35f646033b3460eb7ee5609fb085da6,9a6a2559cb894a14a7beaefb3d27d713,2025-06-01,53609.81
a2f981f12dae48f89f56f69101abdc17,9a6a2559cb894a14a7beaefb3d27d713,2025-05-25,50596.05
1d352e57d8704497af522ef591d8cddf,9a6a2559cb894a14a7beaefb3d27d713,2025-05-18,31927.24
e642f1b98a9742e488ba38d884774f3c,9a6a2559cb894a14a7beaefb3d27d713,2025-05-11,59658.7
689e31a40d5f4cd89e602f7f5e206fa4,c27368dad75943f0b77e5db348d969d6,2025-06-08,85420.76
7c9321d47a0a4b4a9833f50c0cf9cfe0,c27368dad75943f0b77e5db348d969d6,2025-06-01,32799.74
a915f5b54d314a4f89c2bf5c3c591609,c27368dad75943f0b77e5db348d969d6,2025-05-25,75990.91
3a1d655ec8c74000b40ecc12872a75db,c27368dad75943f0b77e5db348d969d6,2025-05-18,55030.84
8e3642582a62436ca945d72e505392ce,c27368dad75943f0b77e5db348d969d6,2025-05-11,25089.37
8b32cea7513f474aacf83cd6b33a678e,601dfd10cbd741e28471b7414a9b8151,2025-06-08,50968.65
0d79bd0ca7c14d568ce3e31e4bd34e65,601dfd10cbd741e28471b7414a9b8151,2025-06-01,87826.96
810fb093e0384693a561ccb57b57d554,601dfd10cbd741e28471b7414a9b8151,2025-05-25,84485.24
a2e8a397f0ee42cc9b38be81ef2086f7,601dfd10cbd741e28471b7414a9b8151,2025-05-18,10239.65
45dba2cc924f4927bc42723c43862f35,601dfd10cbd741e28471b7414a9b8151,2025-05-11,39458.29
60780c1536e045dd9acb4486a63a96af,af8fb436f520499886d518db44b5f483,2025-06-08,33621.01
a245087b9bee470a9f96d360f5724ad0,af8fb436f520499886d518db44b5f483,2025-06-01,19280.04
9b4fa33ee1e4490ca1c112b35d818e0b,af8fb436f520499886d518db44b5f483,2025-05-25,93702.07
0322ae2050b64345a2eb0bfbe127de21,af8fb436f520499886d518db44b5f483,2025-05-18,77167.41
ecb5d2af6a28420083fd610bf1aadbf9,af8fb436f520499886d518db44b5f483,2025-05-11,70497.79
eda46c0b4536409c8588a7b630fd7739,dc5a4bc36e0d4efd8e7fd26cf2507512,2025-06-08,92469.15
85b2b167d8544c7d87f277073877b21a,dc5a4bc36e0d4efd8e7fd26cf2507512,2025-06-01,30333.71
2bc115a70bd64680a669cf1a3c1add6c,dc5a4bc36e0d4efd8e7fd26cf2507512,2025-05-25,55409.35
ddd112d2c59f4e049c101e571bd74996,dc5a4bc36e0d4efd8e7fd26cf2507512,2025-05-18,68062.57
93cf29d39b694e89858bf36624d1c264,dc5a4bc36e0d4efd8e7fd26cf2507512,2025-05-11,85447.24
94c95f6920db4d14b0b125a99f67185e,e4655972e1be44718da9601b49aac82b,2025-06-08,99290.1
6a3fe3a255634f118c4e99ccd4aa7ae0,e4655972e1be44718da9601b49aac82b,2025-06-01,58354.35
16a9980e6d5949d4a9dc3a79458eb854,e4655972e1be44718da9601b49aac82b,2025-05-25,77294.7
4b06b46cafe94a3d95ef2e236f3c591d,e4655972e1be44718da9601b49aac82b,2025-05-18,72971.32
