id,budget_id,account_id,month,amount
5598f615d9bf449ea0a1b5800f556ded,fa35770d431c46aab3329a09b8394279,loan payable,01,2783.13
91603e65cd4d4ae5b4e1cc71ccf3e920,fa35770d431c46aab3329a09b8394279,loan payable,02,1813.4
fcf1c0dabf4a4136b8e579e4bca16881,fa35770d431c46aab3329a09b8394279,loan payable,03,1084.95
91f5eef5d33a4c0290e2340d254fd06a,fa35770d431c46aab3329a09b8394279,loan payable,04,4471.21
df05753cde734bb5bb339338d9398d94,fa35770d431c46aab3329a09b8394279,loan payable,05,2019.74
2e79e9e53f994f25adb033a31387eac3,fa35770d431c46aab3329a09b8394279,loan payable,06,3809.41
948ebe271dde44e395ac0a3cca31d40a,fa35770d431c46aab3329a09b8394279,loan payable,07,2804.93
2b2d47151cf3478f9f3d5d5ec7c1a198,fa35770d431c46aab3329a09b8394279,loan payable,08,3332.82
54ec8caffde54d66964198013f3c756b,fa35770d431c46aab3329a09b8394279,loan payable,09,3412.72
34f1d2d131f145afa28c9535c5bdc084,fa35770d431c46aab3329a09b8394279,loan payable,10,1776.05
31ddcc43fa6c443bb351d22de75b1c3c,fa35770d431c46aab3329a09b8394279,loan payable,11,2533.39
c5fc63525f494296b5d78aa30d83b402,fa35770d431c46aab3329a09b8394279,loan payable,12,2955.62
6fd6f4416ccb45a7ba954c9481473620,fa35770d431c46aab3329a09b8394279,notes payable interest expense,01,2560.48
99f212e81b4b4d32981f9dff8aaea64d,fa35770d431c46aab3329a09b8394279,notes payable interest expense,02,4146.17
bafaaceb289648d58a6e7a55507c4083,fa35770d431c46aab3329a09b8394279,notes payable interest expense,03,4608.13
630b69863984426a93a407db01da61ad,fa35770d431c46aab3329a09b8394279,notes payable interest expense,04,3628.76
d7b9160d43f6460484a552f2830e43b1,fa35770d431c46aab3329a09b8394279,notes payable interest expense,05,2486.33
e67e7cf46ed04097b37b2620cba1bb70,fa35770d431c46aab3329a09b8394279,notes payable interest expense,06,2106.22
dbc2524cb8b24489ad587ff80c09f580,fa35770d431c46aab3329a09b8394279,notes payable interest expense,07,1305.69
30d668bda4534bf58795b9236fce30fc,fa35770d431c46aab3329a09b8394279,notes payable interest expense,08,4528.38
33fcde33799343a192559d7e6e020789,fa35770d431c46aab3329a09b8394279,notes payable interest expense,09,2307.44
77de641e2d4740a2828a7cd7457d9a48,fa35770d431c46aab3329a09b8394279,notes payable interest expense,10,2257.23
44ef8689f2e044248ddff01f3788d186,fa35770d431c46aab3329a09b8394279,notes payable interest expense,11,1381.95
66e87ffc25864850bad5e96f93896597,fa35770d431c46aab3329a09b8394279,notes payable interest expense,12,3960.98
37c61afe8ed94204b77dd508271e652a,fa35770d431c46aab3329a09b8394279,predevelopment costs,01,3455.27
6cad1c14c9074a358c057eb7fd073fd9,fa35770d431c46aab3329a09b8394279,predevelopment costs,02,617.98
8dc6f4d5ddf8412bab576ad728b38192,fa35770d431c46aab3329a09b8394279,predevelopment costs,03,3270.12
cd988c8645634305adee368040ee7023,fa35770d431c46aab3329a09b8394279,predevelopment costs,04,1737.05
514c3c8cd01b4168a2bc9319f3d25ee0,fa35770d431c46aab3329a09b8394279,predevelopment costs,05,4011.12
7e8f7a23b6374c5ca839c9fb4a434c37,fa35770d431c46aab3329a09b8394279,predevelopment costs,06,4835.86
007108759cab4a7e8eedc795dc1ac85a,fa35770d431c46aab3329a09b8394279,predevelopment costs,07,785.66
1b5a87d26ecd4babbfb008574dba58d9,fa35770d431c46aab3329a09b8394279,predevelopment costs,08,3325.19
68fa596836b64fd98108fc3afd68d2e0,fa35770d431c46aab3329a09b8394279,predevelopment costs,09,4880.11
b48e057cd16a4143ba13a434be0987ad,fa35770d431c46aab3329a09b8394279,predevelopment costs,10,2727.04
6d8601c34f0540fdbadc3078c4c74814,fa35770d431c46aab3329a09b8394279,predevelopment costs,11,2894.89
bf0abda05153409abfeaeb576e697e05,fa35770d431c46aab3329a09b8394279,predevelopment costs,12,2230.13
5a893ee482b843f58c96548d6f772cc5,fa35770d431c46aab3329a09b8394279,cash - escrow,01,1174.63
ee9cdaeb05c34fc893311de9b51387c5,fa35770d431c46aab3329a09b8394279,cash - escrow,02,3306.39
0bf19c36df0a49778d5fadd95b61f1c4,fa35770d431c46aab3329a09b8394279,cash - escrow,03,4618.93
97fd5b5ef5144f16a97a23a65c20ca70,fa35770d431c46aab3329a09b8394279,cash - escrow,04,2776.12
dae49e12d76646e380d5cc34f3c085e3,fa35770d431c46aab3329a09b8394279,cash - escrow,05,3733.43
4849ede611734dc2a6a8183c04e220f8,fa35770d431c46aab3329a09b8394279,cash - escrow,06,1192.62
a2447ec1cc964cf187dbeae005677cc7,fa35770d431c46aab3329a09b8394279,cash - escrow,07,4253.4
f9fdb26a4cb1433994177b803b0ed180,fa35770d431c46aab3329a09b8394279,cash - escrow,08,1940.52
4183d02a1b554ce78ac5f656dc9236e3,fa35770d431c46aab3329a09b8394279,cash - escrow,09,3095.62
64f38151b58d4792b0127f76d786a4e3,fa35770d431c46aab3329a09b8394279,cash - escrow,10,2722.58
630900cf067f470f9007702ec89bd203,fa35770d431c46aab3329a09b8394279,cash - escrow,11,3873.94
e70ec88470c54d75b973d3a4f638bfa8,fa35770d431c46aab3329a09b8394279,cash - escrow,12,4057.38
f704e4bc663540c2980473b0b13733d3,fa35770d431c46aab3329a09b8394279,utilities,01,2894.63
6d652cb0e24c4ce083fc79cde40e9e3e,fa35770d431c46aab3329a09b8394279,utilities,02,3567.03
65e2cb01f08a421387d9dcb47b6f86a0,fa35770d431c46aab3329a09b8394279,utilities,03,502.95
77658f2fe3f24a24ac5beadfcdf2c40b,fa35770d431c46aab3329a09b8394279,utilities,04,3395.97
a201812316494a9eabcd6aba5b3bbeff,fa35770d431c46aab3329a09b8394279,utilities,05,3570.52
8ffce18ddf974119b5217a063cd78598,fa35770d431c46aab3329a09b8394279,utilities,06,4065.82
c23842b5ed3c4b49a9c0594c6caa5df3,fa35770d431c46aab3329a09b8394279,utilities,07,2159.06
b26f7a9cabe94095afcce647d4139b24,fa35770d431c46aab3329a09b8394279,utilities,08,3629.76
