id,property_id,fiscal_year,version,approved
fa35770d431c46aab3329a09b8394279,8a84f65e5a744c639b342ab3f7937fed,2025,Initial,False
05a9ce8c117743b5be05aeb3c51a4745,10e3338faaa449b5a588b83692e0df87,2025,Initial,False
c3b434f38432438f8afdfb8621064484,fdd710b1997d4b09a152914cfbf33c3a,2025,Initial,False
09d352ab1ef845458a5ef0a320237544,27959407d7004daba8bcc815dc1c2218,2025,Initial,True
99468f5bd1d146139f7b903e8dfcab18,aefb2813a7094034bb8ed4c5a8d7db0e,2025,Initial,False
8a6a9405138f4971901e31321103e42b,abb1cac40a984cb182cebbf74302c8a3,2025,Initial,False
8787322da91f41219a90b9cc6ca2eaf4,f0299242534841b1856fd44d191e37e1,2025,Initial,False
1119ac487e7f45b29599f1a405c42eb3,deae04cfc3654d10b75ff8e3ce78ae95,2025,Initial,False
aedc82f036a74e82ba3662a52b0c88e6,c291ec3bb17a49788b7faa4629f5e82c,2025,Initial,True
a23dcce2fd29446aafecc385d8282d7f,9c0b582b92d7436cb2911dac20e49281,2025,Initial,False
b9c007657338422eabb65363589b71a5,20c8022c5b0540eca28cfb7b565025a8,2025,Initial,True
c1cc0669717449cca028b48add25ec0d,b5c3f485f434498ba24ac407abe8ab32,2025,Initial,True
f5abe544c99042409685d9826e265296,d65ca995a50947feb0c7db72ba08ab64,2025,Initial,True
06d4b7e2686c408cb72b1556c03c6c5f,a8fee8de9da643d08e07417deea2f60b,2025,Initial,True
68ccd73abd554787af0298075ca36da3,6822f6b983e84541a4d1c6bec0d01fd3,2025,Initial,True
e34bd59aa7bd493da5d95b9fdca4fea2,c54aec5835364a6f89c40dfa850ec741,2025,Initial,False
816b6dccb28b4b79896ab5b6f8fd8216,392af4eaf3af44e98cddbedb71405625,2025,Initial,True
5ce8658bd7fe4905838335a010bb7997,145dd14fd79248629774a81486e8d323,2025,Initial,False
e1f8be3120f843869fb41fa4b549855c,cdc6407645c94d80bbcd015fc4e983d7,2025,Initial,False
2708c65a7b4546aa9720cf4450ed8e96,436cb1f98cb44061a11b7c763e37e5c3,2025,Initial,False
ba4ee0b4438f45c49331388d5c9f2bab,d1962743a4874a83abbca761a2ed6b71,2025,Initial,False
7a8085a01a724399a7516cca2e067a2f,fb74de25a5f847c8bd9fd96567c98a0a,2025,Initial,True
80332f2ec0fb42ec9fddc7391b317a23,25e2f050ba8740b7b21a87f7154bbb1a,2025,Initial,True
c9a8795e02834c1da812152f7938262f,6d15a3b471844e92b5c9d22008e537b4,2025,Initial,True
415c0ca34727460a907d3c6b3e0701c0,c41a12d4751648e9a00808ff3d347dda,2025,Initial,False
1cc9f6f73e6b4a8c9a199373c131da0a,10e765e6808f474fbe17949051750b24,2025,Initial,True
113c8a34c22b4a8e817362ad04dd7900,fc976e56aaa74e3b91a66fe34f744123,2025,Initial,False
c561881d07cd43c5b22dc046957b3edb,79add5f857c54eb8841f55ac8bd0001c,2025,Initial,False
39bb982b4ef6458dbb7ee72f2246afc4,c3b33d14ae1547ca90c22b286ed9707d,2025,Initial,False
23e1c99bb7bf4bef9c20fd29c7e0e5ea,196fecd38004412fa0eadddabb5cc820,2025,Initial,True
cacb2ae02f2a4fbdb79516f839de2188,df5af0b214574c9092eded2741814dca,2025,Initial,True
54fbc918461a4c7482bc30478f178074,18bf7a26d89e42dc9731768d79ce93ff,2025,Initial,False
e2c4cfc2feb04c2c8a63cc0ff0487767,012ad9cdd5474e5fa3483c0192c1ded6,2025,Initial,False
acc96823d28b4ac4928f06b638bf9213,f3d664c947964806a6700c633fa6b03a,2025,Initial,True
f706e1d239234230b044d1a0983dc401,e1fbe4e430f84d1b86c4bf086904456f,2025,Initial,True
4427e1b1bf4d42d496ec95523436eb8d,0516448bc8524302b30110e47dba5417,2025,Initial,False
