id,invoice_id,tenant_id,receipt_id,receipt_date,amount,payment_method,property_id,gltran_id,created_by,created_at,modified_by,modified_at
a4ffba2a6d754fd7bf163cfebb39e99d,7374bdbde51f4c348f9da2fb473beeaa,354c91f7d68149ffbd1d5a123e226aff,19883,2025-05-23 06:53:04.319222,2100.2,Credit Card,274d6a082abc4de091a10bc562745591,16f9ef02c931400fb4dd69a95ca4abbb,system,2025-07-25 06:53:04.319222,system,2025-07-25 06:53:04.319222
678b472e52ca4da598d64375d6e059bd,7374bdbde51f4c348f9da2fb473beeaa,354c91f7d68149ffbd1d5a123e226aff,82658,2025-06-07 06:53:04.319222,2822.8,Check,274d6a082abc4de091a10bc562745591,34c7f0636e9e49a280378bf727bf068a,system,2025-07-25 06:53:04.319222,system,2025-07-25 06:53:04.319222
a6df403cdd1746dc9b991903f83cebb5,86ddeb9b67044794b410caaaf77344f2,354c91f7d68149ffbd1d5a123e226aff,61502,2025-06-20 06:53:04.319799,1523.45,Credit Card,274d6a082abc4de091a10bc562745591,4106f47cc2884d3899a324377f43943e,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
f40026e90c6d4a46ba50912b0e8bb629,86ddeb9b67044794b410caaaf77344f2,354c91f7d68149ffbd1d5a123e226aff,66761,2025-06-27 06:53:04.319799,1746.1,ACH,274d6a082abc4de091a10bc562745591,379c9bc79f434685b0f8cdb92bd91466,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
6f579b6cd78842b5b917e04637a5ea3a,2ca293c0d18145beb6b40012e66ae024,354c91f7d68149ffbd1d5a123e226aff,65982,2025-06-16 06:53:04.319799,1057.4,ACH,274d6a082abc4de091a10bc562745591,05b6131562b841c0b484a82ed90d8f93,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
ee0ac936b34841548d685caafac3f2d5,2ca293c0d18145beb6b40012e66ae024,354c91f7d68149ffbd1d5a123e226aff,37516,2025-05-24 06:53:04.319799,1464.82,ACH,274d6a082abc4de091a10bc562745591,c27af0fa14554f3c889425d375ff78e6,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
98bcde0e96c84e14a72f4d3470d0a923,8ff84b782e764adea0ba1e8f43c50f2f,354c91f7d68149ffbd1d5a123e226aff,17044,2025-06-16 06:53:04.319799,1735.91,Credit Card,274d6a082abc4de091a10bc562745591,7ad039c304754654845d60be57ca0f94,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
8a9bf70fde4f4a38b7c07395a672c41f,8ff84b782e764adea0ba1e8f43c50f2f,354c91f7d68149ffbd1d5a123e226aff,70622,2025-06-15 06:53:04.319799,1194.04,ACH,274d6a082abc4de091a10bc562745591,63502870e39b47adb6b6ad781208fe0c,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
2ea1c58da29445ef9f4009f652a9450d,919e0ec0253a485aab4856f4d0a55a0d,354c91f7d68149ffbd1d5a123e226aff,90614,2025-05-10 06:53:04.319799,1857.09,Credit Card,274d6a082abc4de091a10bc562745591,4c845da0f54e4ba198e2749cb0c47637,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
df137d37c8cb496a9019c996029f21db,919e0ec0253a485aab4856f4d0a55a0d,354c91f7d68149ffbd1d5a123e226aff,96615,2025-06-19 06:53:04.319799,1949.3,Credit Card,274d6a082abc4de091a10bc562745591,557b034029a448e6ba2299a1443cbd52,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
263e92057a3242108962485485f78337,8fbd1fa62e4642fc9bb22a6d48676dd6,7545049af7994cca98d14d862d6116d8,13683,2025-06-08 06:53:04.319799,1518.12,Check,274d6a082abc4de091a10bc562745591,039c0f7b1f5d4cfe9fc359bcc9c6b640,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
6ab8f1a9a75f4955ad9d74ddc176b3fa,8fbd1fa62e4642fc9bb22a6d48676dd6,7545049af7994cca98d14d862d6116d8,38712,2025-07-10 06:53:04.319799,1952.32,ACH,274d6a082abc4de091a10bc562745591,89737554fd984d52847edb53bf9a3e68,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
b41e6d561ab043ec96bde9acecd3f564,24a8211e33934a5080d94176416de9fe,b8c7c377346148d6a2c03f98846f4a1c,26953,2025-05-18 06:53:04.319799,1926.09,Check,274d6a082abc4de091a10bc562745591,dac753ad94d843a0872b6b5bd28c3c37,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
876a90b5b86f448da6ccb13f20ca82af,24a8211e33934a5080d94176416de9fe,b8c7c377346148d6a2c03f98846f4a1c,32634,2025-07-08 06:53:04.319799,2875.21,Credit Card,274d6a082abc4de091a10bc562745591,af5f1352a9ba437bb592544290eba2c1,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
6da35b8f41054311b051d51b06e66995,b376b715f9c542e5843b41d10be3bb11,b8c7c377346148d6a2c03f98846f4a1c,99375,2025-05-23 06:53:04.319799,2333.77,Credit Card,274d6a082abc4de091a10bc562745591,f115fbe83cec464abfe3e16218b9dd0b,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
986f813c45ac49dabf8848f479e0368a,b376b715f9c542e5843b41d10be3bb11,b8c7c377346148d6a2c03f98846f4a1c,95860,2025-05-19 06:53:04.319799,2452.4,Credit Card,274d6a082abc4de091a10bc562745591,89de8f144ffb413b9bf6d5167a200f46,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
febc1ed37ee84adb8506a329e4aeba0a,ca416b6ba0bb4811889ddb2c9faf32a0,b8c7c377346148d6a2c03f98846f4a1c,69497,2025-05-16 06:53:04.319799,2903.92,Check,274d6a082abc4de091a10bc562745591,867925b9e02b4132be28c88f15368001,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
e4325f3e606146b6ab0c3151219a0c11,ca416b6ba0bb4811889ddb2c9faf32a0,b8c7c377346148d6a2c03f98846f4a1c,54598,2025-07-19 06:53:04.319799,1095.05,Credit Card,274d6a082abc4de091a10bc562745591,90ba8d2941dc4255b661545a80f6b50c,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
a2f048ac3dae407494612834428e0b51,d3050823e2dc45cc8c6c956175c770e7,b8c7c377346148d6a2c03f98846f4a1c,36809,2025-07-10 06:53:04.319799,2485.21,ACH,274d6a082abc4de091a10bc562745591,67fbb863dec240a09ddf811dce95a604,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
c20154601f804ab69df125797a9c20fe,d3050823e2dc45cc8c6c956175c770e7,b8c7c377346148d6a2c03f98846f4a1c,58896,2025-06-14 06:53:04.319799,2026.22,Credit Card,274d6a082abc4de091a10bc562745591,820f583fc5db4a7fb1b9bee52c81ded3,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
cbad64abe87141b0836c61376dbcc724,2c4eb705957a4d96903beeb2f8750214,b8c7c377346148d6a2c03f98846f4a1c,40225,2025-05-26 06:53:04.319799,1842.5,Check,274d6a082abc4de091a10bc562745591,f84cc74e31e642a685df0f3c327a7dd5,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
c41ea770e6c743e9a1d3a30587fc3c4e,2c4eb705957a4d96903beeb2f8750214,b8c7c377346148d6a2c03f98846f4a1c,39790,2025-05-02 06:53:04.319799,1751.96,ACH,274d6a082abc4de091a10bc562745591,cd338e13694d439c8392356769a15ed9,system,2025-07-25 06:53:04.319799,system,2025-07-25 06:53:04.319799
