id,invoice_id,vendor_id,check_number,check_date,amount,property_id,gltran_id,created_by,created_at,modified_by,modified_at
9bdf64c564bd4ec19c58b51e97d16f47,a5f8cf4f91234062889e583e5aba90b0,179dabbb02824d9480e318f85883c055,99931,2025-04-07,8528.77,b0ba570dd1ba43c1828e8febfb7e3c73,2e6c050387d7451ead63690c79f59e72,system,2025-07-25 06:53:03.919996,system,2025-07-25 06:53:03.919996
857d861c6cb64ac2bd29a7d5c470233b,2c325ed268cc4dc08a1820ddb84acc2e,5faee9fb02454e668fe6128c993761c7,45136,2023-11-07,705.57,f8453f7be3734c6e83207fccd77edd75,5e3339a5b7fa41fabe1263dad5977003,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
5311ae318d494fafad323337e29a4a4e,e39d3ff8410e4191ab892726c1d979d5,4b81025e83534a38871c43c4fba9e59b,42671,2023-09-02,1994.18,274d6a082abc4de091a10bc562745591,93377a0bb03c4ae3bb2335da774d56f4,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
3c3d0800cdcf4e27ab84ee44aed7d2d1,4ad960e4baf546689f20587048b2eadd,11cc511ad4b14426ad647677631e43a4,11796,2023-11-24,9200.62,b787cabc72cf4471ab5cf7e7d7220652,65e5cd4209de41c6ae6ef1121e2e5d73,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
6a418d51a5ad414bb16e5a016839e872,65ca6437eec345b6b49c7dc9fe21ecc8,54309f439eae4553a68cba8f15ff6ff4,19954,2024-08-24,3973.56,ac9d42d6c4184de2bcc4b31d6527ac7c,09430d05afaf42af82a607ed5c932974,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
a8d08abdcd9e47bbb92ba5e181bca0f4,29096690c67240c495b3b53ffa6f0fc9,e3761e0d12c14b9fa9ad4d7c8ab33955,29486,2024-01-11,1014.32,ec8d76169b9f47968c394937e8575aac,aefc3b40fc104a269685656b30f3e57d,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
bf257eb9cee249b9b7d77efe71f695b9,ce98ed8308d0480eb44ecb3b8614d330,a8086050518e488f9f92d991f5809ed3,26967,2024-01-05,3097.14,74e9e9a2aeca40c8aebfd5f07e6f9718,c5c2644989bd4b419129c153771a4450,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
e926e00fd99441aa90271ff295a51759,c87810423d854a108ce623a75ac67e21,da2cf147d28b4750bf3f7a5d4a7ff634,60808,2023-10-13,9489.88,74e9e9a2aeca40c8aebfd5f07e6f9718,3d83b9a819e24d82bf96b12202568739,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
080307ca061d4b4e85f4f27fdf4d9229,0d0f4fe19d5f4bdda04e744fc00c0daf,45cab98fc1764cf68c6d61ccc2d1715a,89220,2025-05-10,4027.69,fcd7c1f4bc7a4989bcbf95f233d6372e,cf620a1cdb71476dbd0c1fd47434d33c,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
2d8cf124868e4bfa8164d49f56e03af2,b1b984b51cfa49028a96b9e9c1083cd7,4c897dbb8e9b441997ac3138ad4fa1dc,49442,2025-05-15,7821.6,c07a607a5f0d4e34877c338e5c207a95,9fd5c05ef1034ad4a4ba2ceb09784890,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
7880d4cc51b84480abbfe9d68376ead9,6fd73288de1f4efc9638075e48dbb5ca,1f4a84e04a624e379a57ec79aece62ee,25448,2025-05-22,6306.78,ac9d42d6c4184de2bcc4b31d6527ac7c,fa73dad011674b3a8daa7473f45f5463,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
65543c9a613a4ea0a61708a6f2f25908,57b5883ab39b47c39f5122205b5f0f45,b5d7335dc051465dba4538582cd33b10,52519,2023-12-22,8654.05,f1785adda02b418ab11c2e8be0bddd56,646137aa3cdd46a68d88bbf2d03770dc,system,2025-07-25 06:53:03.920595,system,2025-07-25 06:53:03.920595
14ecbb240b684f5ab7c7f505f80e7640,1021387ea3004349a6050e3500d11e9d,1b3cb7d8ac204b8496562e30f41c77bf,41982,2024-11-09,8994.3,92ec19044db842d68770982ae8f1804c,60d5f1f5b38145679098e802a36c0ecf,system,2025-07-25 06:53:03.921205,system,2025-07-25 06:53:03.921205
b8ffd90013dd45f48eaa4e15a24e6945,f2f55ad28ab745a9a3431ca78d54f673,5faee9fb02454e668fe6128c993761c7,96249,2025-06-07,9816.29,815fcfdfd5ab4a9f9db1938c43fd9f3d,1f0be3baac064a5e8c1fa78cfec74ffc,system,2025-07-25 06:53:03.921205,system,2025-07-25 06:53:03.921205
b67f8e77a74a40b3b8270f603729e065,cf67b7489d0b4fdea52e56561e9a01ed,8225168d726d4bf7bd6d8e5b0bc53db0,52380,2025-04-24,1643.08,0555e6ee4a5c47378c7899f0434c49c2,fbe098d574e548d0b2cb42dbc5950fa8,system,2025-07-25 06:53:03.921205,system,2025-07-25 06:53:03.921205
